the capital of France is _____,Paris
one,two,_four, five,Three
fourteen, fifteen, ___ seventeen,Sixteen
What is seven plus seven,fourteen
The UK Prime Minister is:,Rishi Sunak
What is eight minus four:,four
What language is spoken in England?,English
What language is spoken in Germany?,German
What is the capital of Italy?, Rome
What is the capital of the UK?, London
What is a three sided shape called?, Triangle
Which country is famous for the "Great Wall", China
Which month comes after July?, August
What colour is a banana, Yellow
What colour is the sky?, Blue
What is the name of the planet we live on?, Earth
What shape has four sides?, Square
What colour is snow?, White
What colour is grass?, Green
What is the opposite of day?, Night
